A;0
B;1
MALLA PLASTICA;20000
MALLA METALICA;25000
ESTACAS DE MADERA;29000
ALAMBRE;17000
CABUYA;11000
CAL DOLOMITA;14000
PIOLA;15000
AGUJA DE MADERA;9000
NAILON;7500
FABRICACIÓN CAVAS;5000
CEMENTO;3500
MADERA;4500
TEJAS;21000
TUBOS PBC;19000
PERFILES METALICOS;28000
AMARRES;8500
ILUMINACION;7200
TEJAS ZINC;46000
PINTURA;38000
CABLEADO;1800
ALUMBRADO;25000
PUERTAS;97500
REJAS ENRROLLABLES;22000
SEPARACIONES/VESTIERES;26000
FERTILIZANTES;38000
HERBICIDAS;52000
INSECTICIDAS;39000
FINGICIDAS;41000
SEMILLAS;16000
PLANTULAS;13000
CALANDRIO Y /O ANZUELOS;13000
BARREDERAS;9000
MALLA;14000
PLOMO;10000
BALDE;21000
CONCENTRADO;16000
ANTIPARASITARIOS;11000
VITAMINAS;13000
PORCINOS;1200000
CONCENTRADO;8000
SAL Y MELASA;19000
BOVINOS;1000000
MEDICAMENTOS;18000
AVES DE CORRAL;138000
VERDURAS;19000
FRUTAS;16000
TUBERCULOS;17000
LEGUMBRES;10000
BEBIDAS;16000
UTILES ESCOLARES(cuadernos,esferos,lapices y marcadores,tijeras,colbon,cartulinas,cinta);29000
ROPA;19000
CALZADO;30000
ACCESORIOS;10000
ESMALTES;20000
TINTURAS;34000
GEL;28000
LACA;24000
SHAMPOOS;34000
FUMIGADORA DE ESPALDA;1200000
FUMIGADORA A MOTOR  DE GASOLINA;1300000
GUADAÑA;1400000
CARRETILLA;80000
PALA;14000
MACHETA;13000
CANOA;1800000
MOTOR;150000
REMOS;19000
BALSA;1400000
BEBEDEROS;29000
COMEDEROS;145000
CEPO;190000
PICA PASTO;180000
BALDE LECHERO;24000
VALLAS DE ALIMENTACIÓN;230000
NIDAL;190000
ESTUFA;200000
NEVERA;400000
SILLAS;120000
MESAS;125000
MESON;135000
VITRINAS;230000
ESTANTES;175000
CONGELADOR;235000
VERDURERO;145000
CANASTILLAS;150000
IMPRESORA;320000
COMPUTADOR;1320000
CORTINAS;25000
ESTANTES;190000
EXHIBIDOR DE ROPA;210000
ESPEJO;90000
SILLAS PELUQUERIA;130000
SECADORES;29000
PLANCHAS;60000
CANASTILLAS;29000
COSTALES;19000
GUACALES;24000
EMPAQUES;25000
AVISO;138000
PERIFONEO;120000
BOLSAS;49000
ARETES GANADO PORCINO;79000
BOTELLAS;39000
CUBETAS;41000
JAULAS;59000
CARTELES;140000
OVEROL;49000
DELANTAL;120000
BOTAS;135000
GUANTES;80000
PROTECTOR SOLAR;29000
CARETA;22000
SALVAVIDAS;37000
FLOTADORES;35000
LINTERNAS;28000
TAPABOCAS;3000
DESINFECTANTES;8500
BOTAS PUNTA DE ACERO;32000
BOTIQUIN;28000
EXTINTOR;31000
SEÑALIZACION DE EMERGENCIA;37000
SEÑALIZACIÓN SALIDAS DE EMERGENCIA;38000